tne_inf_hulk_vision,hulk_vision,tne_inf_hulk,,
tne_inf_hulk_ipamapi,hulk_ipamapi,tne_inf_hulk,,
tne_inf_hulk_banner_banner-policy,hulk_banner_banner-policy,tne_inf_hulk,,
tne_inf_hulk_banner_bannerapi,hulk_banner_bannerapi,tne_inf_hulk,,
tne_inf_hulk_node-manager,hulk_node-manager,tne_inf_hulk,,
tne_inf_hulk_ipamweb,hulk_ipamweb,tne_inf_hulk,,
tne_inf_hulk_ipamtask,hulk_ipamtask,tne_inf_hulk,,
tne_inf_hulk_ipamcommon,hulk_ipamcommon,tne_inf_hulk,,
tne_inf_hulk_captain-manager,hulk_captain-manager,tne_inf_hulk,,
tne_inf_hulk_vision-task,hulk_vision-task,tne_inf_hulk,,
tne_inf_hulk_captain-task,hulk_captain-task,tne_inf_hulk,,
tne_inf_hulk_vision-migration,hulk_vision-migration,tne_inf_hulk,,
tne_inf_hulk_vision-api,hulk_vision-api,tne_inf_hulk,,
tne_inf_set,set化,tne_inf,,
tne_inf_set_mq-rmq_client,set_mq-rmq_client,tne_inf_set,,
tne_inf_set_mtthrift,set_mtthrift,tne_inf_set,,
tne_inf_set_mafka-client,set_mafka-client,tne_inf_set,,
tne_inf_set_celler_tair3clientjava,set_celler_tair3clientjava,tne_inf_set,,
tne_inf_set_zebra_client,set_zebra_client,tne_inf_set,,
tne_inf_set_squirrel-client,set_squirrel-client,tne_inf_set,,
tne_inf_set_mtrace,set_mtrace,tne_inf_set,,
tne_data,基础数据部,tne,,
tne_info_sec,信息安全,tne,,
tne_info_sec_hids,HIDS,tne_info_sec,,
tne_biz_sec,上海业务安全,tne,,
tne_sre,服务运维,tne,,
tne_ee,工程效率中心,tne,,
tne_bfe,前端技术中心,tne,,
tne_bfe_aicomp,基础组件与AI研发,tne_bfe,,
tne_bfe_aicomp_yoda,Yoda,tne_bfe_aicomp,,
tne_bfe_aicomp_lx,灵犀,tne_bfe_aicomp,,
tne_bfe_aicomp_tianyan,天眼,tne_bfe_aicomp,,
tne_bfe_aicomp_hetu,河图,tne_bfe_aicomp,,
tne_bfe_aicomp_rent,租户中心,tne_bfe_aicomp,,
tne_bfe_aicomp_test,sonar_test,tne_bfe_aicomp,,
tne_bfe_aicomp_ml,机器学习,tne_bfe_aicomp,,
tne_bfe_aicomp_zeus,zeus,tne_bfe_aicomp,,
tne_bfe_aicomp_lxwx,灵犀小程序,tne_bfe_aicomp,,
tne_bfe_aicomp_mtd,mtd,tne_bfe_aicomp,,
tne_bfe_test,sonar_test,tne_bfe,,
tne_bfe_test_ocean,ocean,tne_bfe_test,,
tne_bfe_test_AA,,tne_bfe_test,,
tne_bfe,user-integrate-service-sonar,tne_bfe,,
tne_bfe_bidata,数据平台与BI研发组,tne_bfe,,
tne_bfe_bidata_ocean_shadowsong,监控台,tne_bfe_bidata,,
tne_bfe_bidata_wanxiang,万象,tne_bfe_bidata,,
